Name,description,price,tab,section,sortOrder
Garlic Mushrooms,Served with bread (AGF/V),,two-course,Starters,1
Beef Meatballs,Served in a spicy tomato and herb sauce,,two-course,Starters,2
Spicy Hummus,"Made from chickpeas, tahini (sesame paste), cumin, olive oil, lemon juice & garlic served with bread (VG)",,two-course,Starters,3
Soup of the Day,Served with warm bread (V),,two-course,Starters,4
Chicken Katsu,"Crispy breaded chicken served with Japanese-style curry sauce, steamed rice and garnish",,two-course,Mains,1
Thai Green Vegetable Curry,"Aromatic green curry infused with lemongrass and kaffir lime, creamy coconut milk with tender vegetables and steamed rice (V)(VG)(GF)",,two-course,Mains,2
Homemade Lasagne,"Oven baked with beef mince, topped with mozzarella cheese and napoli sauce, served with chunky chips and salad garnish",,two-course,Mains,3
Hand Battered Cod,"Served with chunky chips, mushy peas and tartare sauce",,two-course,Mains,4
Smash Burger,"Two smashed beef patties, lettuce, tomato, red onion, mature cheese, burger sauce and homemade coleslaw served with fries",,two-course,Mains,5
Chocolate Brownie,Served with vanilla ice cream,,two-course,Desserts,1
Sticky Toffee Pudding,Served with custard or vanilla ice cream,,two-course,Desserts,2
Ice Cream,"Choice of vanilla, chocolate or strawberry",,two-course,Desserts,3
Mussels,In Thai curry or garlic and white wine cream (GF),£9,tapas,Tapas,1
Gambas Pil Pil,"Baby prawns cooked in garlic, paprika and chilli oil (GF)",£9,tapas,Tapas,2
Cod Fish Goujons,"Deep fried cod goujons, served with tartare sauce",£8,tapas,Tapas,3
Beef Meatballs,Served in a spicy tomato and herb sauce (GF),£9,tapas,Tapas,4
Garlic Mushrooms,"In a creamy, white wine sauce (V)(GF)",£8,tapas,Tapas,5
Patatas Bravas,Deep fried potatoes with spicy tomato and herb sauce (VG)(GF),£8,tapas,Tapas,6
Honey Garlic Chicken,Topped with spring onion and sesame seeds,£8,tapas,Tapas,7
Halloumi Fries,"Topped with spring onions, served with sweet chilli sauce (V)(GF)",£8,tapas,Tapas,8
Chicken Wings,Teriyaki marinade with sesame seeds or salt and chilli,£8,tapas,Tapas,9
Spicy Hummus,"Made from chickpeas, tahini (sesame paste), cumin, olive oil, lemon juice & garlic, served with bread (VG)",£7,tapas,Tapas,10
Spring Rolls & Onion Bhaji,Served with sweet chilli sauce & mint yoghurt (V),£7,tapas,Tapas,11
Salt & Chilli Squid,"Lightly battered calamari, tossed in salt & chilli flakes, served with garlic mayo",£8,tapas,Tapas,12
Cheese Nachos,"Served with sour cream, salsa, guacamole and jalapeno (V)",£7,tapas,Tapas,13
Extra Bread,,£2,tapas,Sides,1
Garlic Bread Slices,(V),£5,tapas,Sides,2
Garlic Bread Cheese Slices,(V),£6.50,tapas,Sides,3
Fries/Chips,(VG),£4.50,tapas,Sides,4
Sweet Potato Fries,(V),£5,tapas,Sides,5
Mixed Salad,(VG)(GF),£4.50,tapas,Sides,6
Salt & Pepper Fries,(VG),£5,tapas,Sides,7
Ribeye/Sirloin Steak,"Succulent 8oz ribeye or sirloin cooked to your liking, served with a rich garlic mushroom sauce, seasoned baby potatoes and garnish (GF)",£22,mains,Mains,1
Chicken Katsu,"Crispy breaded chicken served with Japanese-style curry sauce, steamed rice and garnish",£14,mains,Mains,2
Thai Green Chicken/Prawn Curry,"Aromatic green curry infused with lemongrass and kaffir lime, creamy coconut milk, served with steamed rice (GF)",£16,mains,Mains,3
Thai Green Vegetable Curry,"Aromatic green curry infused with lemongrass and kaffir lime, creamy coconut milk, served with steamed rice (V)(VG)",£14,mains,Mains,4
Chicken Burger,"Buttermilk chicken breast, hash brown, lettuce, tomato, mature cheese, red onion, garlic mayo and burger sauce, served with fries",£14,mains,Mains,5
Smash Burger,"Two smashed beef patties, lettuce, tomato, red onion, mature cheese, burger sauce and homemade coleslaw, served with fries",£14,mains,Mains,6
Homemade Lasagne,"Oven baked with beef mince, topped with mozzarella cheese and napoli sauce, served with chunky chips and salad garnish",£13,mains,Mains,7
Halloumi Burger,"Crispy halloumi, tomato, lettuce and sweet chilli sauce, served with sweet potato fries (V)",£11,mains,Mains,8
Hand Battered Cod,"Served with chunky chips, mushy peas and tartare sauce",£14,mains,Mains,9
Sticky Toffee Pudding,,£6,mains,Desserts,1
Triple Chocolate Brownie,,£6,mains,Desserts,2
Ice Cream,"Choice of vanilla, chocolate or strawberry",£5,mains,Desserts,3
Glass of Prosecco,Unlimited refills,,brunch,Unlimited Drinks,1
Selected Cocktails,Choose from our brunch cocktail menu,,brunch,Unlimited Drinks,2
Pint of Coors or Cider,Unlimited refills,,brunch,Unlimited Drinks,3
Selected House Spirit,With draught mixer,,brunch,Unlimited Drinks,4
Mocktails,Non-alcoholic options available,,brunch,Unlimited Drinks,5
Midweek,Available all day Wednesday to Friday,,brunch,Availability,1
Friday & Saturday,"12:30pm, 2pm or 3:30pm sittings",,brunch,Availability,2
Max Table Size,6 persons. T&Cs apply,,brunch,Availability,3
Fish and Chips,Hand-battered cod served with chunky chips and mushy peas,£14.00,delivery,Mains,1
Asian Sharer Box,"Salt & chilli pepper chicken wings, Asian style breaded items and sauces",£20.00,delivery,Mains,2
Homemade Lasagne,"Oven baked beef mince topped with mozzarella, served with chunky chips",£18.00,delivery,Mains,3
Garden Chicken Curry,Chicken in a Thai green curry sauce with coconut milk,£12.00,delivery,Mains,4
Thai Green Prawn Curry,Prawns in Thai green curry with coconut milk,£18.00,delivery,Mains,5
Thai Green Veg Curry,"Classic Thai green curry with mixed vegetables in a creamy coconut sauce (V, VG, GF)",£14.00,delivery,Mains,6
Choice of Dip,Your choice of dip to accompany your sides,£0.75,delivery,Sides,1
French Fries,"Thinly sliced potatoes, cooked to a crispy finish",£4.50,delivery,Sides,2
Sweet Potato Fries,Crispy sweet potato strips served as a side dish,£5.50,delivery,Sides,3
Chunky Chips,"Thick-cut potato slices, cooked to a crispy finish",£4.50,delivery,Sides,4
Creamy Garlic Mushrooms,Creamy garlic mushrooms served with toasted bread,£9.00,delivery,Sides,5
Halloumi Fries,Halloumi fries topped with spring onions,£8.00,delivery,Sides,6
Sticky Toffee Pudding,Salted butterscotch sauce and vanilla ice cream,£8.00,delivery,Desserts,1
Triple Chocolate Brownie,With mixed berry compote and vanilla ice cream,£8.00,delivery,Desserts,2
Bottle Coca-Cola 330ml,,£2.75,delivery,Drinks,1
Bottle Diet Coca-Cola,,£2.75,delivery,Drinks,2
Can Red Bull,,£2.50,delivery,Drinks,3
J20 Orange & Passionfruit,,£2.50,delivery,Drinks,4
